Peter Enckelman,Aston Villa
Peter Enckelman,Blackburn Rovers
Peter Enckelman,Cardiff City
Mikael Forssell,Chelsea
Mikael Forssell,Crystal Palace
Mikael Forssell,Birmingham City
Sami Hyypiä,Liverpool
Pertti Jantunen,Bristol City
Jonatan Johansson,Charlton Athletic
Jonatan Johansson,Norwich City
Jussi Jääskeläinen,Bolton Wanderers
Jussi Jääskeläinen,West Ham United
Toni Kallio,Fulham
Joonas Kolkka,Crystal Palace
Njazi Kuqi,Birmingham City
Njazi Kuqi,Blackpool
Njazi Kuqi,Peterborough United
Shefki Kuqi,Stockport County
Shefki Kuqi,Sheffield Wednesday
Shefki Kuqi,Ipswich Town
Shefki Kuqi,Blackburn Rovers
Shefki Kuqi,Crystal Palace
Shefki Kuqi,Fulham
Shefki Kuqi,Newcastle United
Aki Lahtinen,Notts County
Jari Litmanen,Liverpool
Antti Niemi,Southampton
Antti Niemi,Fulham
Mixu Paatelainen,Bolton Wanderers
Mixu Paatelainen,Wolverhampton Wanderers
Petri Pasanen,Portsmouth
Aki Riihilahti,Crystal Palace
Teemu Tainio,Tottenham Hotspur
Teemu Tainio,Sunderland AFC
Hannu Tihinen,West Ham United
Simo Valakari,Derby County
